;英语;简体中文;繁体中文;西班牙语;俄语;葡萄牙语;德语;韩语;日语;法语;意大利语;阿拉伯语
歌曲名;Happy New Year;新年快乐;新年快樂;Happy New Year;С новым годом;Happy New Year;Happy New Year;새해 복 많이 받으세요;Happy New Year;Happy New Year;Happy New Year;سنة جديدة سعيدة
歌曲名;Jingle Bells;铃儿响叮当;鈴兒響叮噹;Jingle Bells;Джингл Белз;Jingle Bells;Jingle Bells;징글 벨;Jingle Bells;Jingle Bells;Jingle Bells;اجراس الميلاد
歌曲名;Canon;卡农;卡農;Canon;Канон;Canon;Canon;카논;Canon;Canon;Canon;كاهن
歌曲名;3 Ecossaises Op.72 No.3;苏格兰舞曲Op.72 No.3;蘇格蘭舞曲Op.72 No.3;3 Ecossaises Op.72 No.3;3 Ecossaises Op.72 №4;3 Ecossaises Op.72 No.3;3 Ecossaises Op.72 Nr.3;3에토세즈 Op.72 No.3;3 Ecossaises Op.72 No.3;3 Ecossaises Op.72 No.3;3 Ecossaises Op.72 No.3;3 الاسكتلندي Op.72 No.3
歌曲名;Happy Birthday to You;祝你生日快乐;祝你生日快樂;Feliz Cumpleaños;С днём рождения;Parabéns pra você;Happy Birthday to You;생일 축하합니다;Happy Birthday to You;Feliz Cumpleaños;Feliz Cumpleaños;عيد ميلاد سعيد
歌曲名;Two Tigers;两只老虎;兩隻老虎;Two Tigers;Два Тигра;Two Tigers;Two Tigers;호랑이 두 마리;Two Tigers;Two Tigers;Two Tigers;نمرين
歌曲名;Little Star;小星星;小星星;Little Star;Маленькая звезда;Little Star;Kleiner Stern;반짝반짝 작은별;Little Star;Little Star;Little Star;نجمة صغيرة
歌曲名;Jasmine;茉莉花;茉莉花;Jasmine;Жасмин;Jasmine;Jasmine;재스민;Jasmine;Jasmine;Jasmine;الياسمين
歌曲名;6 Ecossaises WoO 83;埃克萨斯舞曲;埃克薩斯舞曲;6 Ecossaises WoO 83;6 Ecossaises WoO 83;6 Ecossaises WoO 83;6 Ecossaises WoO 83;6개의 에코세즈 WoO 83;6 Ecossaises WoO 83;6 Ecossaises WoO 83;6 Ecossaises WoO 83;6 Ecossaises WoO 83
歌曲名;Paganini Rhapsody Var.18;帕格尼尼主题狂想曲;帕格尼尼主題狂想曲;Paganini Rhapsody Var.18;Паганини Рапсодия вар.18;Paganini Rhapsody Var.18;Paganini Rhapsodie 18.Var.;파가니니 랩소디 18번 변주곡;Paganini Rhapsody Var.18;Paganini Rhapsody Var.18;Paganini Rhapsody Var.18;بجنني ربسدي Var.18
